Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,
,AFE,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,
Afganistán,AFG,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,
,AFW,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,1.2678708,0.881994353,0.810017679,1.105067968,0.928918547,0.864923938,,,,,0.476096997,
Angola,AGO,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,
Albania,ALB,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,
Andorra,AND,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,
El mundo árabe,ARB,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,,19.79007069,28.46870214,,39.2451881,29.58812281,21.89278491,16.92291039,14.67266737,13.03077656,29.32300182,
Emiratos Árabes Unidos,ARE,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,9.564827513,4.27882016,4.792385937,,35.73584007,16.08285952,13.85472654,11.45457189,6.022963982,7.011076009,10.45207988,
Argentina,ARG,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,0.600714181,0.462934738,0.267799853,0.405291324,0.669273861,0.453942538,0.782152499,1.024313871,0.87099876,0.658835822,0.560341435,
Armenia,ARM,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,
Samoa Americana,ASM,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,
Antigua y Barbuda,ATG,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,
Australia,AUS,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,98.58382828,80.72655476,58.56196107,49.98183563,47.93754682,55.58070025,65.88107785,63.51515516,54.18347117,59.93207482,92.34303499,
Austria,AUT,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,12.45009155,8.985220814,5.774168329,6.166572813,6.488984486,8.307682432,6.707928524,9.583181481,8.663137222,7.52337905,9.181496259,
Azerbaiyán,AZE,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,
Burundi,BDI,"Acciones negociadas, valor total (% del PIB)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,
