Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,-0.281333966,0.12679896,8.250490724,-3.72016846,5.598420413,9.452578891,9.500906726,1.764112903,3.231208283,4.398089972,4.871536744,
,AFE,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,,,,,,,,,,,,
Afganistán,AFG,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,26.9471277,21.30916836,8.727729452,9.914483311,8.135571545,3.079021968,9.72542826,4.093274968,2.574153785,5.704360373,12.06374669,
,AFW,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,,,,,,,,,,,,
Angola,AGO,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,5.287800928,37.14695603,4.898187445,14.14659565,16.18919725,11.77631343,13.46824221,0.625449002,20.42805983,30.11411805,24.30076542,
Albania,ALB,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,12.48579986,9.167788795,4.976872401,2.276105785,4.013124685,1.764720649,3.88758243,0.274642648,-0.221006685,4.313638629,10.49019459,
Andorra,AND,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,,,,,,,,,,,,
El mundo árabe,ARB,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,,,,,,,,,,,,
Emiratos Árabes Unidos,ARE,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,6.277088975,5.079193604,4.487013155,22.74426356,7.912904735,5.45472478,3.255598799,4.135933184,2.530523713,8.004542842,4.630807704,
Argentina,ARG,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,33.10758922,26.03166313,34.82211435,27.08106016,29.82964762,39.57186047,41.54851926,30.08433707,,,,
Armenia,ARM,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,11.82784961,23.65541669,19.46681076,14.7811031,8.3360558,10.83988508,17.48265024,18.47097088,7.445920803,11.18408795,8.963765502,
Samoa Americana,ASM,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,,,,,,,,,,,,
Antigua y Barbuda,ATG,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,0.245680656,1.465431231,2.586486295,1.34360401,1.391239865,5.816729361,-1.245109148,7.247042643,7.208472631,-0.448755227,-8.719531788,
Australia,AUS,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,10.1307768,7.967777688,7.347916752,6.747131992,7.0328977,5.984082435,6.666188127,4.521987656,2.373822341,14.05953319,13.66823252,
Austria,AUT,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,,,,,,,,,,,,
Azerbaiyán,AZE,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,24.3034834,32.06544663,20.65805693,14.98948462,11.80307306,-1.148701829,-2.010855125,9.008399502,5.65746855,19.97437433,1.106831607,
Burundi,BDI,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,24.97585644,6.998892508,16.06918253,12.48170567,12.19566723,-0.064077933,7.296028489,26.31712798,19.87018585,22.55113844,24.10676939,
Bélgica,BEL,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,,,,,,,,,,,,
Benin,BEN,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,9.770146655,9.380195633,7.460344781,17.33267312,18.35157893,6.136451874,0.175468917,1.043888642,4.798886785,6.0115274,17.30188898,
Burkina Faso,BFA,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,17.95665072,14.38508297,15.55989832,10.85315443,11.01774031,19.41540396,11.66609457,21.07756291,10.4418753,9.094124827,17.81880298,
Bangladesh,BGD,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,21.0788579,16.91536756,17.01132257,14.84981283,15.61021591,14.892336,16.69775713,13.73939573,11.50616873,11.90526568,13.08488534,
Bulgaria,BGR,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,6.304509099,12.18132254,8.432293522,8.935771374,1.144027672,8.765536447,7.606858325,7.70576446,8.778294974,9.882391521,10.88416487,
Bahrein,BHR,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,10.5094602,3.401334604,4.052808201,8.20220206,6.511556812,2.946030444,,,,,,
Bahamas,BHS,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,2.660835309,1.887804878,-0.346307911,0.864774838,0.481074559,-0.229114984,8.689936967,1.325424163,,,,
Bosnia y Herzegovina,BIH,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,7.223566089,5.798934316,3.41480605,7.940419963,7.303242847,7.981190656,8.314116381,9.499828811,9.381247783,8.852922205,7.277250131,
Belarús,BLR,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,31.89197536,121.2394452,45.05444891,19.84764875,23.86669812,36.54154288,3.796080099,17.4262119,8.493068022,12.20548254,4.722694328,
Belice,BLZ,Crecimiento de la masa monetaria (% anual),FM.LBL.BMNY.ZG,-0.114401925,5.280858503,11.00887861,1.35295281,7.893315257,7.561501148,2.649079163,-0.368487043,2.651893883,4.641267782,11.92263151,
