Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brasil,BRA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.038726901,6.636449622,5.40349914,6.204310666,6.329040155,9.029901024,8.739143523,3.44637335,3.664850284,3.732976212,3.211768038,8.301659756
Barbados,BRB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.824218533,9.432202402,4.533347539,1.81410436,1.769503221,-1.112789925,1.281928131,4.66018464,3.673814104,4.100289645,,
Brunei Darussalam,BRN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.356869132,0.137911563,0.111766261,0.389205053,-0.207108732,-0.488347421,-0.278693266,-1.260505646,1.025051793,-0.390522069,1.940319966,1.733413885
Bhután,BTN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,7.036383161,8.848985699,10.91965694,7.006666667,8.271060939,4.548143951,3.219886894,4.95508367,2.723963862,2.725821043,5.62999178,7.346838598
Botswana,BWA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,6.948876587,8.459872334,7.536902611,5.884607071,4.402253092,3.062031696,2.814957914,3.308280768,3.238015589,2.772864429,1.890359168,7.240977656
República Centroafricana,CAF,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.4910237,1.194475724,5.478295943,6.98879342,14.89868418,1.402970171,4.945432761,4.180723319,1.61215687,2.685373553,1.710156595,4.259364175
Canadá,CAN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.776871541,2.912135089,1.515678231,0.938291898,1.906635907,1.125241361,1.428759547,1.596884129,2.268225672,1.949269024,0.716999632,3.395193185
Europa Central y del Báltico,CEB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.801170221,4.130275626,3.334922677,1.438297872,0.053821313,-0.464499005,-0.054999542,2.075935537,2.534454242,2.664561334,1.672440969,3.839844915
Suiza,CHE,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.688238707,0.231349208,-0.692552018,-0.217323155,-0.013202539,-1.143908672,-0.434618664,0.53378784,0.936335464,0.36288618,-0.725874933,0.581814168
Islas del Canal,CHI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,
Chile,CHL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.41071108,3.341216943,3.007448402,1.78955554,4.718675279,4.348773532,3.786193559,2.182718469,2.434889814,2.557544757,3.045490848,4.524568383
China,CHN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.175324753,5.553898923,2.619524326,2.621050017,1.921641628,1.437023809,2.000001822,1.593136001,2.0747904,2.899234164,2.419421895,0.981015136
Côte d'Ivoire,CIV,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.226456121,4.912433951,1.304511199,2.581170373,0.448682077,1.251499548,0.723178458,0.685881065,0.359409031,-1.10686344,2.425006568,4.091951897
Camerún,CMR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.275380462,2.939699463,2.742534075,2.05908684,1.834130781,2.685982772,0.861740258,0.642673522,1.074299452,2.452802141,2.437608822,2.271857625
"Congo, República Democrática del",COD,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,7.1,15.31651591,9.721828063,0.808223101,1.243038898,0.744198995,2.885851073,,,,,
"Congo, República del",COG,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.391525011,1.759587043,5.010187731,4.631616197,0.912139545,3.169097968,3.190561797,0.450063823,1.152778964,2.206073058,1.795371471,1.715642755
Colombia,COL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.271183264,3.417589591,3.167325603,2.018098479,2.897818744,4.990234275,7.514293228,4.312141032,3.240234138,3.525492736,2.524620535,3.495145631
Comoras,COM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.354757703,1.842663008,6.314744503,-4.294873315,,,,,,,,
Cabo Verde,CPV,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.078664709,4.473883422,2.540396442,1.506542857,-0.238778145,0.131187999,-1.407816371,0.784415251,1.256995667,1.106666743,0.605795808,1.862152975
